cod_departamento;departamento;cod_municipio;municipio;cod_centro_poblado;centro_poblado;tipo_centro_poblado;Longitud;Latitud
05;ANTIOQUIA;05001;MEDELLÍN;05001000;MEDELLÍN, DISTRITO ESPECIAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN;CM;-75,578661;6,250063
05;ANTIOQUIA;05001;MEDELLÍN;05001001;PALMITAS;CP;-75,690039;6,343329
05;ANTIOQUIA;05001;MEDELLÍN;05001004;SANTA ELENA;CP;-75,501293;6,210599
05;ANTIOQUIA;05001;MEDELLÍN;05001009;ALTAVISTA;CP;-75,644721;6,220472
05;ANTIOQUIA;05001;MEDELLÍN;05001010;AGUAS FRÍAS;CP;-75,635261;6,232665
05;ANTIOQUIA;05001;MEDELLÍN;05001013;SAN JOSÉ DEL MANZANILLO;CP;-75,613254;6,205992
05;ANTIOQUIA;05001;MEDELLÍN;05001014;BARRO BLANCO;CP;-75,477868;6,234506
05;ANTIOQUIA;05001;MEDELLÍN;05001015;EL CERRO;CP;-75,491056;6,201982
05;ANTIOQUIA;05001;MEDELLÍN;05001017;EL PATIO;CP;-75,65111;6,277841
05;ANTIOQUIA;05001;MEDELLÍN;05001018;EL PLACER;CP;-75,492971;6,224788
05;ANTIOQUIA;05001;MEDELLÍN;05001019;EL PLAN;CP;-75,518361;6,204348
05;ANTIOQUIA;05001;MEDELLÍN;05001022;LA ALDEA;CP;-75,703423;6,342421
05;ANTIOQUIA;05001;MEDELLÍN;05001023;LA CUCHILLA;CP;-75,65356;6,293513
05;ANTIOQUIA;05001;MEDELLÍN;05001025;LA PALMA;CP;-75,648077;6,273406
05;ANTIOQUIA;05001;MEDELLÍN;05001027;LAS PLAYAS;CP;-75,649303;6,284456
05;ANTIOQUIA;05001;MEDELLÍN;05001029;PIEDRA GORDA;CP;-75,498185;6,234886
05;ANTIOQUIA;05001;MEDELLÍN;05001031;POTRERITO;CP;-75,668067;6,183065
05;ANTIOQUIA;05001;MEDELLÍN;05001032;TRAVESÍAS;CP;-75,643128;6,286948
05;ANTIOQUIA;05001;MEDELLÍN;05001033;URQUITA;CP;-75,698148;6,365318
05;ANTIOQUIA;05001;MEDELLÍN;05001035;BOQUERÓN;CP;-75,657851;6,315868
05;ANTIOQUIA;05001;MEDELLÍN;05001039;EL LLANO 1;CP;-75,649476;6,294584
05;ANTIOQUIA;05001;MEDELLÍN;05001040;EL LLANO;CP;-75,505515;6,195631
05;ANTIOQUIA;05001;MEDELLÍN;05001048;LA VERDE;CP;-75,639004;6,189958
05;ANTIOQUIA;05001;MEDELLÍN;05001052;MATASANO;CP;-75,493578;6,258862
05;ANTIOQUIA;05001;MEDELLÍN;05001054;MATASANO 2;CP;-75,504674;6,266006
05;ANTIOQUIA;05001;MEDELLÍN;05001055;MAZO;CP;-75,498723;6,24832
05;ANTIOQUIA;05001;MEDELLÍN;05001057;MEDIA LUNA;CP;-75,516161;6,241195
05;ANTIOQUIA;05001;MEDELLÍN;05001066;LAS CAMELIAS;CP;-75,643377;6,196729
05;ANTIOQUIA;05002;ABEJORRAL;05002000;ABEJORRAL;CM;-75,428739;5,789315
05;ANTIOQUIA;05002;ABEJORRAL;05002002;PANTANILLO;CP;-75,490787;5,730256
05;ANTIOQUIA;05002;ABEJORRAL;05002004;NARANJAL - LAS FONDAS;CP;-75,514084;5,763384
05;ANTIOQUIA;05002;ABEJORRAL;05002016;LAS CANOAS;CP;-75,429071;5,782188
05;ANTIOQUIA;05004;ABRIAQUÍ;05004000;ABRIAQUÍ;CM;-76,064703;6,631806
05;ANTIOQUIA;05004;ABRIAQUÍ;05004003;POTREROS SECTOR 1;CP;-76,089393;6,67448
05;ANTIOQUIA;05021;ALEJANDRÍA;05021000;ALEJANDRÍA;CM;-75,141346;6,376061
05;ANTIOQUIA;05030;AMAGÁ;05030000;AMAGÁ;CM;-75,702041;6,038817
05;ANTIOQUIA;05030;AMAGÁ;05030001;CAMILO C;CP;-75,698672;6,02658
05;ANTIOQUIA;05030;AMAGÁ;05030003;LA CLARITA;CP;-75,699419;6,069094
05;ANTIOQUIA;05030;AMAGÁ;05030004;LA FERREIRA;CP;-75,709024;6,063192
05;ANTIOQUIA;05030;AMAGÁ;05030005;LA GUALÍ;CP;-75,70687;6,057368
05;ANTIOQUIA;05030;AMAGÁ;05030006;PIEDECUESTA;CP;-75,69346;6,049992
05;ANTIOQUIA;05030;AMAGÁ;05030011;MINAS;CP;-75,701064;6,077355
